Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2024/1/16, 04:30:00.016, 2037.2, 2037.5, 2036.9, 2037.5, 87, 36, 22, 65
2024/1/16, 04:30:00.027, 2037.6, 2037.8, 2037.2, 2037.8, 106, 82, 48, 58
2024/1/16, 04:30:00.363, 2037.9, 2038.1, 2037.5, 2038.1, 67, 60, 40, 27
2024/1/16, 04:30:01.300, 2038.2, 2038.2, 2037.6, 2037.6, 81, 70, 58, 23
2024/1/16, 04:30:02.474, 2037.5, 2037.9, 2037.3, 2037.3, 63, 54, 39, 24
2024/1/16, 04:30:03.775, 2037.2, 2037.5, 2036.9, 2036.9, 78, 51, 51, 27
2024/1/16, 04:30:05.794, 2036.8, 2037.4, 2036.8, 2037.4, 31, 28, 4, 27
2024/1/16, 04:30:06.319, 2037.5, 2037.9, 2037.3, 2037.9, 60, 53, 33, 27
2024/1/16, 04:30:08.928, 2038.0, 2038.2, 2037.6, 2037.6, 33, 26, 11, 22
2024/1/16, 04:30:11.616, 2037.5, 2037.7, 2037.1, 2037.7, 171, 126, 72, 99
2024/1/16, 04:30:15.918, 2037.8, 2038.0, 2037.4, 2037.4, 76, 55, 45, 31
2024/1/16, 04:30:20.071, 2037.3, 2037.7, 2037.1, 2037.7, 79, 64, 28, 51
2024/1/16, 04:30:25.233, 2037.9, 2038.5, 2037.9, 2038.5, 137, 79, 38, 99
2024/1/16, 04:30:27.823, 2038.6, 2039.2, 2038.6, 2039.2, 167, 135, 51, 116
2024/1/16, 04:30:31.754, 2039.3, 2039.3, 2038.7, 2038.7, 39, 33, 19, 20
2024/1/16, 04:30:33.440, 2038.6, 2039.0, 2038.4, 2038.4, 128, 84, 75, 53
2024/1/16, 04:30:38.135, 2038.2, 2038.8, 2038.2, 2038.2, 211, 172, 74, 137
2024/1/16, 04:30:45.732, 2038.1, 2038.4, 2037.8, 2038.4, 217, 169, 118, 99
2024/1/16, 04:31:01.694, 2038.5, 2038.8, 2038.2, 2038.2, 69, 59, 45, 24
2024/1/16, 04:31:08.271, 2038.1, 2038.4, 2037.8, 2038.4, 104, 95, 39, 65
2024/1/16, 04:31:20.128, 2038.5, 2039.0, 2038.4, 2039.0, 71, 67, 26, 45
2024/1/16, 04:31:31.417, 2039.1, 2039.5, 2038.9, 2038.9, 287, 139, 150, 137
2024/1/16, 04:31:44.023, 2038.8, 2039.4, 2038.8, 2039.4, 222, 190, 106, 116
2024/1/16, 04:32:06.855, 2039.5, 2039.5, 2038.9, 2038.9, 51, 39, 24, 27
2024/1/16, 04:32:11.683, 2038.8, 2039.3, 2038.7, 2039.3, 103, 83, 34, 69
2024/1/16, 04:32:16.744, 2039.4, 2040.0, 2039.4, 2040.0, 208, 119, 111, 97
2024/1/16, 04:32:17.219, 2040.1, 2040.4, 2039.8, 2039.8, 285, 200, 144, 141
2024/1/16, 04:32:23.532, 2039.7, 2040.1, 2039.5, 2040.1, 172, 85, 51, 121
2024/1/16, 04:32:28.391, 2040.2, 2040.7, 2040.1, 2040.7, 199, 106, 118, 81
2024/1/16, 04:32:29.228, 2040.8, 2041.2, 2040.6, 2041.2, 286, 254, 150, 136
2024/1/16, 04:32:41.861, 2041.3, 2041.4, 2040.8, 2040.8, 78, 65, 63, 15
2024/1/16, 04:32:44.685, 2040.7, 2041.3, 2040.7, 2041.3, 283, 239, 156, 127
2024/1/16, 04:33:01.258, 2041.4, 2041.7, 2041.1, 2041.1, 134, 118, 66, 68
2024/1/16, 04:33:05.607, 2041.0, 2041.5, 2040.9, 2041.5, 162, 123, 69, 93
2024/1/16, 04:33:12.374, 2041.6, 2042.0, 2041.4, 2041.4, 199, 148, 117, 82
2024/1/16, 04:33:17.932, 2041.3, 2041.9, 2041.3, 2041.9, 37, 30, 2, 35
2024/1/16, 04:33:18.914, 2042.0, 2042.2, 2041.6, 2042.2, 129, 115, 55, 74
2024/1/16, 04:33:26.236, 2042.3, 2042.5, 2041.9, 2042.5, 289, 258, 148, 141
2024/1/16, 04:33:46.913, 2042.6, 2042.6, 2042.0, 2042.0, 125, 112, 94, 31
2024/1/16, 04:33:56.750, 2041.9, 2042.4, 2041.8, 2042.4, 178, 155, 101, 77
2024/1/16, 04:34:08.658, 2042.5, 2043.1, 2042.5, 2043.1, 74, 53, 3, 71
2024/1/16, 04:34:09.087, 2043.2, 2043.3, 2042.7, 2042.7, 141, 124, 55, 86
2024/1/16, 04:34:11.895, 2042.6, 2043.1, 2042.5, 2043.1, 85, 64, 45, 40
2024/1/16, 04:34:14.746, 2043.2, 2043.6, 2043.0, 2043.6, 197, 164, 75, 122
2024/1/16, 04:34:18.916, 2043.7, 2043.9, 2043.3, 2043.3, 447, 290, 271, 176
2024/1/16, 04:34:31.255, 2043.2, 2043.4, 2042.8, 2042.8, 246, 216, 136, 110
2024/1/16, 04:34:56.466, 2042.7, 2042.9, 2042.3, 2042.3, 171, 147, 124, 47
2024/1/16, 04:35:05.192, 2042.2, 2042.5, 2041.9, 2042.5, 250, 232, 138, 112
2024/1/16, 04:35:36.232, 2042.6, 2043.1, 2042.5, 2043.1, 51, 47, 25, 26
2024/1/16, 04:35:43.141, 2043.2, 2043.4, 2042.8, 2042.8, 152, 137, 85, 67
2024/1/16, 04:36:02.161, 2042.7, 2043.2, 2042.6, 2043.2, 63, 47, 30, 33
2024/1/16, 04:36:09.827, 2043.3, 2043.3, 2042.7, 2042.7, 263, 230, 139, 124
2024/1/16, 04:36:52.882, 2042.6, 2043.0, 2042.4, 2043.0, 331, 266, 168, 163
2024/1/16, 04:37:31.209, 2043.2, 2043.5, 2042.9, 2042.9, 285, 223, 168, 117
2024/1/16, 04:37:52.463, 2042.8, 2043.0, 2042.4, 2042.4, 69, 60, 30, 39
2024/1/16, 04:38:01.791, 2042.3, 2042.9, 2042.3, 2042.9, 333, 289, 165, 168
2024/1/16, 04:38:53.176, 2043.0, 2043.3, 2042.7, 2043.3, 103, 96, 43, 60
2024/1/16, 04:39:17.553, 2043.4, 2043.9, 2043.3, 2043.9, 98, 86, 42, 56
2024/1/16, 04:39:33.646, 2044.0, 2044.4, 2043.8, 2044.4, 139, 114, 55, 84
2024/1/16, 04:39:51.818, 2044.5, 2045.0, 2044.4, 2045.0, 227, 155, 49, 178
2024/1/16, 04:39:55.609, 2045.1, 2045.1, 2044.5, 2044.5, 43, 41, 24, 19
2024/1/16, 04:39:57.437, 2044.4, 2044.7, 2044.1, 2044.7, 308, 254, 198, 110
2024/1/16, 04:40:36.114, 2044.8, 2045.2, 2044.6, 2044.6, 234, 186, 126, 108
